No.,Name,Category,Years in Prod.,Colors
4223,Alexandria Zip,Clutch/Pouch,"1992, 1993","Black, Bone, Green, Navy, Tan, Red, White"
4224,Mayfield Bag,Crossbody,"1992, 1993, 1994, 1995","Black, Bone, Green, Navy, Tan, Red, White, Taupe, Clover, Marina"
4225,Glenwood Bag,Crossbody,"1992, 1993, 1994, 1995","Bone, Green, Navy, Tan, Black, Taupe, White, Clover, Marina, Red"
4226,Monticello Bag,Crossbody,"1992, 1993, 1994, 1995","Black, Bone, Green, Tan, Navy, White, Taupe, Red, Clover"
4227,Wilmington Satchel,Satchel,"1992, 1993","Black, Bone, Navy, Tan, White"
4228,Roswell Satchel,Satchel,"1993, 1994, 1995","Black, Bone, Green, Navy, Red, Tan, Taupe, Clover, White"
4229,Darcey Drawstring,Bucket,"1993, 1994","Black, Green, Navy, Red, Tan, Taupe"
4231,Stewart Bag,Crossbody,"1993, 1994","Black, Bone, Green, Navy, Red, Tan, Taupe"
4232,Sheffield Bucket,Bucket,"1993, 1994, 1995","Black, Bone, Green, Navy, Tan, Taupe, Clover, White"
4233,Wendell Tote,Tote,"1994, 1995","Black, Navy, Tan"
4235,Elliot Bag,Crossbody,1994,"Black, Bone, Clover, Navy, Red, Tan, Taupe, White"
4236,Marion Bag,Crossbody,1994,"Black, Bone, Clover, Navy, Tan, Taupe, White"
4238,Newberry Drawstring,Bucket,"1994, 1995","Black, Bone, Clover, Navy, Red, Tan, Taupe, White"
4310,Small Satchel Natural Grain,Satchel,1997,"Black, Chocolate, Navy, Tomato"
4313,Mini Zip Natural Grain,Crossbody,1997,"Black, Chocolate, Marigold, Navy, Tomato"
4316,Sonoma Large Hobo,Tote,1997,"Black, Chocolate, Marigold, Navy, Tomato"
4393,Nubuc Tribeca Shopper,Tote,1998,"Chocolate, Sand, Copper"
4394,Nubuc Tribeca Large Hobo,Tote,1998,"Chocolate, Sand, Copper"
4396,Mini Zip Bag Nubuc,Shoulder Bag,1997,"Chocolate, Sand, Spruce, Glacier"
4398,Zip Bag Nubuc,Shoulder Bag,1997,"Chocolate, Sand, Spruce, Glacier"
4399,Mini Satchel Nubuc,Shoulder Bag,1997,"Chocolate, Sand, Spruce, Glacier"
4400,Spence Bag,Crossbody,"1993, 1994","Beechnut, Black, Cherry, Fern, Ivory, Maple, Navy"
4401,Carlyle Bag,Crossbody,"1993, 1994, 1995, 1996, 1997","Beechnut, Black, Cherry, Fern, Ivory, Maple, Navy, Forest, Garnet, Citron, Granite, Mandarin, Butter, Caramel, Scarlet"
4402,Waldorf Bag,Crossbody,1993,"Beechnut, Black, Cherry, Fern, Ivory, Maple, Navy"
4403,Royalton Bag,Crossbody,"1993, 1994","Beechnut, Black, Cherry, Ivory, Maple, Navy"
4404,Chapin Bag,Crossbody,"1993, 1994","Beechnut, Black, Cherry, Fern, Ivory, Maple, Navy"
4405,Regis Bag,Crossbody,"1993, 1994, 1995, 1996, 1997","Beechnut, Black, Cherry, Fern, Ivory, Maple, Navy, Forest, Garnet, Granite, Caramel, Scarlet, Celadon, Butter"
4406,Pierre Bag,Crossbody,"1993, 1994, 1995, 1996","Beechnut, Black, Cherry, Ivory, Maple, Navy, Forest, Garnet, Granite, Butter"
4407,Pierpont Bag,Crossbody,1993,"Beechnut, Black, Fern, Ivory, Maple, Navy"
4408,Savoy Satchel,Satchel,"1993, 1994","Beechnut, Black, Ivory, Maple, Navy"
4409,Arcadia Tote,Tote,"1993, 1994","Beechnut, Black, Maple, Navy"
4410,Sutton Satchel,Satchel,"1994, 1995, 1996, 1997","Beechnut, Black, Garnet, Forest, Ivory, Maple, Navy, Mandarin, Granite, Butter, Caramel, Scarlet, Celadon"
4411,Lowell Bag,Satchel,"1994, 1995","Beechnut, Black, Forest, Maple, Navy"
4412,Bristol Bag,Satchel,"1994, 1995, 1996, 1997","Beechnut, Black, Forest, Garnet, Maple, Navy, Mandarin, Citron, Granite, Butter, Caramel, Scarlet"
4413,Gracie Bag,Satchel,"1994, 1995, 1996, 1997","Beechnut, Black, Ivory, Maple, Navy, Forest, Garnet, Mandarin, Citron, Granite, Butter, Scarlet, Caramel"
