No.,Name,Category,Years in Prod.,Colors
6214,Neo East/West Zip,Shoulder Bag,"1998, 1999","Black, Ink, Mahogany, Dark Grey, Grey, Camel, Navy"
6215,Neo Mini Backpack,Backpack,1998,"Black, Ink, Mahogany, Dark Grey"
6216,Neo Large Compartment Tote,Tote,"1998, 1999","Black, Mahogany"
6217,Neo Organization Tote,Tote,1999,"Black, Mahogany"
6219,Neo Crescent Bag,Shoulder Bag,"1998, 1999","Black, Dark Grey, Ink, Mahogany, Grey, Camel, Navy"
6221,Neo Compartment Satchel,Satchel,1999,"Black, Mahogany, Navy"
6223,Neo Bucket,Bucket,1999,Black
6224,Neo City Tote,Tote,1999,Black
6230,Shoulder Brief Spectator,Briefcase,1990,"Black, Forest Green, Navy"
6235,Neo Classic Camera Zip,Clutch/Pouch,1999,"Black, Currant, Dark Grey"
6240,Neo Classic Lunch Tote,Tote,1999,"Black, Currant, Dark Grey"
6241,Neo Classic Compartment Tote,Tote,1999,"Black, Dark Grey"
6242,Neo Classic Pocket Zip,Crossbody,1999,"Black, Dark Grey"
6243,Neo Classic Backpack,Backpack,1999,"Black, Dark Grey"
6244,Neo Classic Large Compartment Tote,Tote,1999,"Black, Dark Grey"
6295,Neo Pouch,Clutch/Pouch,1998,"Black, Mahogany, Red, Ink"
6375,Dinky Bag Spectator,Crossbody,1989,"Black, Bone, Forest Green, Navy, Red"
6507,Bridle Executive Brief,Briefcase,1998,Black
6701,Bridle Top Handle,Satchel,1999,"Black, Camel, Mahogany"
6706,Bridle Bucket,Bucket,"1998, 1999","Currant, Black, Mahogany, Camel"
6707,Bridle Satchel,Satchel,"1998, 1999","Currant, Black, Mahogany, Camel"
6708,Bridle Hobo,Shoulder Bag,1998,"Black, Mahogany"
6709,Bridle Tote,Tote,1998,"Black, Mahogany"
6711,Bridle Handle Flap,Shoulder Bag,1999,"Black, Currant"
6712,Bridle Zip,Shoulder Bag,1999,"Black, Currant"
6713,Bridle Basket,Tote,1999,Black
6750,Riding Bag Spectator,Crossbody,"1989, 1990","Black, Bone, Forest Green, Navy, Red, White"
6765,Madison Satchel Spectator,Satchel,"1989, 1990","Black, Bone, Forest Green, Navy, Red, White"
6790,City Bag Spectator,Crossbody,"1989, 1990, 1991","Black, Bone, Forest Green, Navy, Red, White"
6801,Hudson Flap,Crossbody,"1998, 1999","Birch, Black, Chocolate"
6802,Hudson Pocket Zip,Crossbody,"1998, 1999","Birch, Black, Chocolate"
6803,Hudson Bucket,Bucket,"1998, 1999","Birch, Black, Chocolate"
6804,Hudson Hobo,Shoulder Bag,1998,"Birch, Black, Chocolate"
6807,Hudson Small Zip,Crossbody,"1998, 1999","Birch, Black, Chocolate"
6820,Swagger Spectator,Crossbody,"1989, 1990","Black, Bone, Forest Green, Navy, Red, White"
6825,Mini Bag Spectator,Crossbody,"1989, 1990","Black, Bone, Forest Green, Navy, Red, White"
6850,Compartment Bag Spectator,Crossbody,"1989, 1990, 1991","Black, Bone, Forest Green, Navy, Red, White"
6853,Binocular Spectator,Crossbody,1990,"Black, Bone, Forest Green, Navy, Red"
6855,Classic Hobo Spectator,Shoulder Bag,"1989, 1990","Black, Bone, Forest Green, Navy, Red, White"
6870,Court Bag Spectator,Crossbody,1990,"Black, Bone, Forest Green, Navy"
6887,Roll Bag Spectator,Crossbody,1991,"Black, Bone, Forest Green, Navy, Red"
6890,Scout Bag Spectator,Crossbody,1991,"Black, Bone, Forest Green, Navy"
6891,Broadway Satchel Spectator,Satchel,1991,"Black, Bone, Forest Green, Navy"
6893,Scooter Bag Spectator,Clutch/Pouch,1991,"Black, Bone, Forest Green, Navy, Red"
6938,Zip Swing Pack,Crossbody,1999,"Black, Ivory, Red"
6939,Zip Slim Waist Pack,Clutch/Pouch,1999,Black
7001,Gramercy Zip,Crossbody,1998,Black
7002,Gramercy Top Handle,Satchel,"1998, 1999","Black, Powder Blue, Wheat"
7003,Gramercy Small Satchel,Satchel,1999,"Black, Wheat"
7004,Gramercy North/South Satchel,Satchel,"1998, 1999","Black, Powder Blue, Wheat"
7301,Flap Shopper,Tote,1997,"Black, British Tan, Lime, Mahogany, Periwinkle, Blue"
7302,Medium Top Handle Tote,Tote,1997,"Black, British Tan, Lime, Mahogany, Periwinkle, White, Blue"
7303,Large Tote,Tote,1997,"Black, British Tan, Mahogany, Lime, Blue"
7304,Lunch Tote,Tote,1997,"Black, Lime, Mahogany, Periwinkle, White, Red, Blue, Leaf"
7307,Legal Tote,Tote,1997,"Black, British Tan, Mahogany"
7400,Mercer Satchel,Satchel,1999,"Jet, Slate, Teak"
7402,Mercer Hobo,Tote,1999,"Jet, Slate, Teak"
7404,Mercer Backpack,Backpack,1999,"Jet, Slate, Teak"
7406,Mercer Zip,Shoulder Bag,1999,"Jet, Slate, Teak"
7407,Mercer Demi Zip,Shoulder Bag,1999,"Jet, Slate, Teak"
7412,Mercer Pocket Zip,Shoulder Bag,1999,"Jet, Slate, Teak"
7413,Mercer East/West Flap,Shoulder Bag,1999,"Jet, Slate, Teak"
7414,Mercer Slim Shoulder Tote,Tote,1999,Jet
8170,Classic Shoulder Bag in Twill,Crossbody,1986,Tabac
8375,Dinky Bag in Twill,Clutch/Pouch,1986,Tabac
8430,Slim Satchel Large in Twill,Satchel,1986,Tabac
8455,Basic Bag in Twill,Clutch/Pouch,1986,Tabac
8517,Swinger,Clutch/Pouch,"1975, 1976, 1977",
8585,Saddle Pouch Large in Twill,Crossbody,1986,Tabac
8625,Musette Bag in Twill,Messenger,1986,Tabac
8635,Convertible Clutch in Twill,Clutch/Pouch,1986,Tabac
8920,Courrier Pouch,Crossbody,"1975, 1976, 1977, 1978, 1979, 1981, 1982, 1983, 1984, 1985, 1986","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Saddle, Sage, Tabac, Grey"
8928,Courrier Pouch Large Ruff-Out,Crossbody,"1975, 1976, 1977",
9010,Berkeley Duffle Sac,Bucket,1996,"Black, Mahogany, Red, Russet"
9011,Berkeley Zip,Crossbody,1996,"Black, Mahogany, Red, Russet"
9012,Berkeley Drawstring,Bucket,1996,"Black, Mahogany, Red, Russet"
9014,Berkeley Saddle Bag,Shoulder Bag,1996,"Black, Mahogany, Red, Russet"
9016,Berkeley Convertible Backpack,Backpack,1996,"Black, Mahogany, Red, Russet"
9017,Abbie Zip,Crossbody,1997,"Black, Bone, British Tan, Mahogany, Periwinkle, Red"
9018,Emmie Flap,Crossbody,1997,"Black, Bone, British Tan, Lime, Mahogany, Periwinkle, White, Red"
9019,Maggie Duffle,Bucket,"1997, 1998","Black, Bone, British Tan, Mahogany, Periwinkle, Red, White, Lime, Leaf, Blue, Glacier, Tangerine, Kiwi, Yellow, Lavender"
9020,Ergo Mini Zip,Shoulder Bag,"1997, 1998","Black, Blue, Mahogany, Red, Leaf, Glacier, Toffee, Tangerine, Kiwi, Yellow, Lavender"
9021,Weston Shopper,Tote,"1997, 1998","Black, Blue, British Tan, Mahogany, Red, Navy"
9022,Metropolis Flap,Crossbody,1997,"Black, British Tan, Mahogany, Red"
9023,Winnie Top Handle,Crossbody,1997,"Black, Bone, British Tan, Mahogany, Periwinkle, Red, Blue"
9024,Ergo Satchel,Shoulder Bag,1998,"Black, Mahogany, Red, Yellow"
9025,Ergo Zip,Shoulder Bag,"1997, 1998","Black, Blue, Mahogany, Red, Leaf, Glacier, Toffee, Tangerine, Kiwi, Yellow, Lavender"
9026,Hobo,Shoulder Bag,1997,Black
9027,Ergo Mini Satchel,Shoulder Bag,"1997, 1998","Black, Blue, Mahogany, Red, Leaf, Glacier, Toffee, Tangerine, Kiwi, Yellow, Lavender"
9029,Flap Bag,Shoulder Bag,1997,"Black, Blue, Mahogany, Red, Leaf"
9030,Knapsac,Crossbody,1975,
9033,Ergo Pocket Zip,Shoulder Bag,"1997, 1998","Black, Blue, Mahogany, Red, Leaf, Glacier, Toffee, Tangerine, Kiwi, Yellow, Lavender"
9034,Ergo Flap,Shoulder Bag,"1997, 1998","Black, Mahogany, Red, Tangerine, Toffee, Kiwi, Yellow"
9035,Ergo Shopper,Tote,1998,"Black, Mahogany, Red, Toffee"
9038,Shelburne Flap,Shoulder Bag,1998,"Black, British Tan, Mahogany, Navy"
9043,Geometric Bag,Shoulder Bag,"1997, 1998","Black, Mahogany, Red, Tangerine, Kiwi, Yellow, White"
9044,Geometric Clutch,Clutch/Pouch,1997,"Black, British Tan, Mahogany, Red, Tangerine"
9047,Ergo Compartment Bucket,Bucket,1998,"Black, Loden, Mahogany, Red, Yellow, Dark Grey, Ink"
9048,Disco Bag,Crossbody,1998,"Black, Mahogany, Red"
9049,Tango Flap,Crossbody,1998,"Black, Dark Grey, Mahogany, Red, Grey"
9050,Cha Cha Satchel,Satchel,1998,"Black, Mahogany, Red"
9051,Swing Zip,Shoulder Bag,1998,"Black, Mahogany, Red"
9052,Aero Pocket Zip,Shoulder Bag,1999,"Black, Camel, Mahogany, Red, Yellow"
9053,Aero Small Pocket Zip,Shoulder Bag,1999,"Black, Camel, Mahogany, Red, Yellow"
9054,Aero Flap,Shoulder Bag,1999,"Black, Camel, Mahogany, Red"
9057,Aero Small Zip,Shoulder Bag,1999,"Black, Camel, Mahogany, Red"
9060,Slim Duffle Sac,Bucket,1998,"Black, British Tan, Mahogany, Red"
9061,Rambler's Legacy,Crossbody,"1998, 1999","Black, British Tan, Mahogany, Navy, Currant, Camel, Dark Grey, Bone"
9062,Mambo Hobo,Crossbody,1998,"Black, Mahogany, Red"
9063,Legacy Satchel,Satchel,1999,"Black, Camel, Mahogany"
9064,Legacy Backpack,Backpack,1999,"Black, Mahogany"
9065,Legacy Mail Bag,Crossbody,1999,"Black, Mahogany"
9071,Audrey Zip,Shoulder Bag,1999,"Black, Camel, Mahogany"
9073,Andrea Bucket,Bucket,1999,"Black, Camel, Mahogany"
9076,Companion Flap,Crossbody,1999,"Black, Bone, Mahogany, Navy"
9077,Classic Lunch Tote,Tote,1999,"Black, Camel, Mahogany, White"
9079,Tribeca Large Hobo,Tote,1998,"Black, Mahogany, Toffee"
9083,Tribeca Hobo,Shoulder Bag,1998,"Black, Bone, Mahogany, Navy, Red, Toffee"
9085,Duffle Sac,Bucket,"1975, 1976, 1977, 1978, 1979, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998","Black, British Tan, Burgundy, Mocha, Navy, Putty, Grey, Flannel Grey, Saddle, Tabac, Red, Mahogany, Forest Green, Bottle Green, Olive, Blue, Yellow, Taupe, Aqua, Lime, Periwinkle, Leaf, Glacier"
9086,Legacy Small Shopper,Tote,"1997, 1998","Black, Blue, British Tan, Mahogany, Red, Glacier, Yellow, Navy"
9087,Metropolis Zip,Crossbody,1997,"Black, Blue, British Tan, Mahogany, Red"
9088,Duffle Sac Ruff-Out,Bucket,"1975, 1976, 1977",
9089,Asheville Zip,Satchel,1997,"Black, Blue, British Tan, Mahogany, Red"
9090,Legacy Large Shopper,Tote,"1997, 1998","Black, Blue, British Tan, Mahogany, Red, Navy"
9091,Tribeca Convertible Clutch,Clutch/Pouch,1998,"Black, Bone, Mahogany, Navy, Toffee"
9092,Tribeca Flap,Crossbody,1998,"Black, Bone, Mahogany, Navy, Red, Toffee, Loden, Ink, Dark Grey, Grey"
9094,Tribeca Large Shopper,Tote,1998,"Black, Bone, Mahogany, Navy, Toffee"
9098,Tribeca Shopper,Tote,"1998, 1999","Black, Bone, Mahogany, Navy, Red, Toffee, Loden, Ink, Dark Grey, Grey, Camel"
9099,Tribeca Bucket,Bucket,1998,"Black, Mahogany, Navy, Red, Toffee"
9134,Hippie Flap,Crossbody,1999,"Black, Camel, Dark Grey, Mahogany"
9135,Small Hippie Flap,Crossbody,1999,"Black, Camel, Dark Grey, Mahogany, Red"
9138,Mimosa Zip,Clutch/Pouch,1999,"Black, Camel, Mahogany, Red"
9139,Bellini Zip,Clutch/Pouch,1999,"Black, Camel, Mahogany, Red"
9140,Martini Flap,Clutch/Pouch,1999,"Black, Camel, Mahogany, Red"
9170,Classic Shoulder Bag,Crossbody,"1975, 1976, 1977, 1978, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1992, 1993, 1997","Black, British Tan, Burgundy, Mocha, Navy, Putty, Grey, Flannel Grey, Red, Saddle, Sage, Tabac, Bone, Mahogany, Bordeaux, Bottle Green"
9178,Classic Pouch Ruff-Out,Crossbody,"1975, 1976, 1977",
9205,Saddle Bag Small,Shoulder Bag,"1975, 1976, 1977",
9208,Saddle Bag Small Ruff-Out,Shoulder Bag,"1975, 1976, 1977",
9210,Saddle Bag Large,Shoulder Bag,"1975, 1976, 1977",
9235,Crescent,Shoulder Bag,"1975, 1976, 1977, 1978, 1979, 1981, 1982, 1983, 1984","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Saddle, Sage, Tabac"
9240,Pulley Bag,Shoulder Bag,"1975, 1976",
9248,Pulley Bag Ruff-Out,Shoulder Bag,1975,
9260,Hasp Bag,Crossbody,1975,
9300,Companion Bag,Crossbody,"1986, 1987, 1988, 1989, 1990, 1991","Black, Bone, British Tan, Burgundy, Mocha, Navy, Putty, Grey, Red, Tabac, Mahogany, Forest Green, Sandstone, Flannel Grey"
9301,Bleecker Small Basket,Crossbody,1999,"Black, Camel, Mahogany, Navy, Red, White"
9302,Bleecker Basket,Shoulder Bag,1999,"Black, Camel, Mahogany, Navy, Red"
9303,Bleecker Satchel,Satchel,1999,"Black, Camel, Mahogany, Navy, Red, White, Currant, Dark Grey"
9305,Bleecker Bucket,Bucket,1999,"Black, Camel, Mahogany, Navy, Red, White, Currant, Dark Grey"
9306,Bleecker Tote,Tote,1999,"Black, Camel, Mahogany, Red"
9308,Bleecker Demi Satchel,Satchel,1999,"Black, Mahogany, Red"
9309,Bleecker Zip,Satchel,1999,"Black, Camel, Mahogany, Red, Currant, Dark Grey"
9311,Bleecker Demi Zip,Shoulder Bag,1999,"Black, Camel, Mahogany, Red, Currant, Dark Grey"
9335,Folio Tote,Briefcase,1975,
9340,Doctor's Satchel,Satchel,1975,
9375,Dinky Bag,Clutch/Pouch,"1975, 1977, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1998","Black, British Tan, Burgundy, Mocha, Navy, Putty, Grey, Red, Saddle, Sage, Tabac, Bone, Mahogany, Forest Green, Sandstone, Flannel Grey, Stone"
9378,Mini Clutch Ruff-Out,Clutch/Pouch,"1975, 1977",
9380,Twin Clutch,Clutch/Pouch,"1975, 1985, 1986","Black, Bone, British Tan, Burgundy, Mocha, Navy, Putty, Red, Saddle, Tabac, Grey"
9385,Shoulder Purse,Clutch/Pouch,"1985, 1986, 1987","Black, Bone, British Tan, Burgundy, Mocha, Navy, Putty, Grey, Red, Saddle, Tabac, Flannel Grey"
9400,Business Tote,Tote,1999,"Black, Camel, Mahogany"
9401,Book Tote,Tote,1999,"Black, Camel, Mahogany"
9405,Convertible Purse,Clutch/Pouch,1975,
9425,Slim Satchel Compact,Satchel,"1975, 1976, 1977, 1981, 1982, 1983, 1984, 1985, 1993, 1997","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Saddle, Sage, Tabac, Bordeaux, Mahogany"
9428,Handle Clutch Ruff-Out,Clutch/Pouch,"1975, 1977",
9430,Slim Satchel,Satchel,"1975, 1976, 1977, 1981, 1982, 1983, 1984, 1985, 1986, 1987","Black, British Tan, Burgundy, Mocha, Navy, Putty, Grey, Red, Saddle, Sage, Tabac, Flannel Grey"
9441,Watermelon Tote,Tote,"1975, 1976, 1977, 1978, 1979, 1981, 1982","Black, Burgundy, Mocha, Navy, Putty, Saddle, Tabac"
9449,Watermelon Tote Ruff-Out,Tote,"1975, 1976, 1977",
9455,Basic Bag,Clutch/Pouch,"1975, 1976, 1977, 1978, 1979, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1998","Black, British Tan, Burgundy, Mocha, Navy, Putty, Grey, Red, Saddle, Sage, Tabac, Bone, Flannel Grey, Mahogany, Forest Green, Sandstone, Stone"
9458,Zippered Clutch Ruff-Out,Clutch/Pouch,"1975, 1976, 1977",
9460,Canoe Tote,Tote,1975,
9465,Shopping Bag Tote,Tote,"1975, 1976",
9470,Book Clutch,Clutch/Pouch,"1975, 1976",
9475,Frame Pouch,Clutch/Pouch,"1975, 1976",
9490,Suspender Bag,Crossbody,"1975, 1976, 1977",
9495,Safari Tote,Briefcase,1975,
9505,Courrier Pouch Small,Crossbody,"1975, 1976, 1977",
9510,Boat Tote,Tote,"1976, 1977",
9515,School Bag Clutch,Messenger,"1976, 1977",
9520,Swag Bag,Messenger,"1976, 1977",
9525,Stewardess Bag,Crossbody,"1976, 1977, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1992, 1993, 1994, 1995, 1997, 1998","Black, British Tan, Burgundy, Mocha, Navy, Putty, Grey, Red, Saddle, Tabac, Flannel Grey, Mahogany, Bordeaux, Olive, Bottle Green, Stone, Bone"
9530,Small Shoulder Bag,Crossbody,"1975, 1976, 1977, 1981, 1982, 1983, 1984, 1985, 1986","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Saddle, Sage, Tabac, Grey"
9535,East-West Tote,Tote,1976,
9535,Saddlery Bag,Crossbody,"1986, 1987, 1988","Black, Bone, British Tan, Burgundy, Grey, Mocha, Navy, Putty, Red, Tabac, Flannel Grey"
9540,Deep Tote,Tote,1976,
9546,Skinny Tote,Tote,"1975, 1976, 1977, 1978, 1979, 1981, 1982, 1983, 1984, 1985, 1986","Black, Burgundy, Mocha, Navy, Putty, Saddle, Tabac, British Tan"
9550,Envelope Clutch,Clutch/Pouch,"1976, 1977",
9555,Slim Clutch Large,Clutch/Pouch,"1976, 1977, 1981, 1982, 1983, 1984, 1985, 1986","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Saddle, Sage, Tabac, Bone, Grey"
9560,Slim Clutch Standard,Clutch/Pouch,"1981, 1982, 1983","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Saddle, Sage, Tabac"
9565,Shopping Bag,Tote,"1976, 1977, 1978, 1979, 1981, 1982, 1983","Black, British Tan, Mocha, Saddle, Tabac"
9585,Saddle Pouch Large,Crossbody,"1976, 1977, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1992, 1994, 1997","Black, British Tan, Burgundy, Mocha, Navy, Red, Saddle, Tabac, Putty, Grey, Mahogany, Flannel Grey, Bottle Green"
9590,Saddle Pouch Small,Crossbody,"1977, 1978, 1979, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1995","Black, British Tan, Burgundy, Mocha, Navy, Red, Saddle, Tabac, Putty, Coral, Stone"
9595,Saddle Pouch Small,Crossbody,"1977, 1981, 1982","Black, British Tan, Burgundy, Mocha, Navy, Red, Saddle, Tabac"
9620,Compact Pouch,Clutch/Pouch,"1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1993, 1994, 1995, 1996, 1997, 1998","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Saddle, Sage, Tabac, Bone, Grey, Mahogany, Flannel Grey, Purple, Bottle Green, Blue, Stone"
9625,Musette Bag,Messenger,"1981, 1982, 1983, 1984, 1985, 1986, 1987","Black, British Tan, Mocha, Saddle, Tabac"
9635,Convertible Clutch,Clutch/Pouch,"1975, 1976, 1977, 1979, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1993","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Saddle, Sage, Tabac, Bone, Grey, Mahogany, Forest Green, Sandstone, Flannel Grey"
9655,Small Zippered Pouch,Clutch/Pouch,"1976, 1981, 1982, 1983, 1984, 1985, 1986, 1994, 1997","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Saddle, Sage, Tabac, Bone, Grey, Purple, Bottle Green, Mahogany"
9665,Marketing Tote,Tote,"1977, 1981, 1982, 1983, 1984, 1985, 1986, 1992","Black, British Tan, Mocha, Tabac, Burgundy, Mahogany"
9670,Pony Express Pouch,Shoulder Bag,"1975, 1976, 1977, 1981, 1982, 1992","Black, British Tan, Burgundy, Mocha, Navy, Tabac, Mahogany"
9680,Standard Tote,Tote,"1983, 1984","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac"
9685,Small Tote,Tote,"1983, 1984","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac"
9690,Dinky Tote,Tote,"1983, 1984","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac"
9695,School Bag,Messenger,"1984, 1985, 1986","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac"
9700,Flight Bag,Satchel,"1975, 1977, 1984, 1985","Black, British Tan, Burgundy, Mocha, Tabac"
9706,Skinny Flight Bag,Satchel,"1984, 1985, 1986, 1987","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac, Grey, Flannel Grey"
9710,Sling Bag,Crossbody,"1984, 1985","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Saddle, Tabac, Bone"
9720,Classic Clutch,Clutch/Pouch,"1985, 1986","Black, Bone, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac"
9725,Madison Satchel,Satchel,"1986, 1987, 1988, 1989","Black, Bone, British Tan, Burgundy, Grey, Mocha, Navy, Putty, Red, Tabac, Mahogany, Flannel Grey"
9730,Shoulder Sac,Bucket,"1986, 1987, 1988, 1989, 1990","Black, British Tan, Burgundy, Grey, Mocha, Navy, Putty, Red, Tabac, Mahogany, Flannel Grey"
9735,Rambler Bag,Crossbody,"1986, 1987, 1988, 1989, 1990","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac, Mahogany"
9740,Mini Pouch,Clutch/Pouch,1986,"Black, Bone, British Tan, Burgundy, Grey, Mocha, Navy, Putty, Red, Tabac"
9745,Riding Bag Small,Crossbody,"1986, 1987, 1992","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac"
9750,Riding Bag,Crossbody,"1986, 1987, 1988","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac, Grey, Flannel Grey"
9755,Pocket Purse,Clutch/Pouch,"1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997","Black, Bone, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac, Grey, Mahogany, Sandstone, Forest Green, Flannel Grey, Camel, Stone, White, Bottle Green, Taupe, Blue"
9760,Camera Bag,Crossbody,"1986, 1987","Black, Bone, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac, Grey, Flannel Grey"
9765,Madison Satchel,Satchel,"1986, 1987, 1988, 1989, 1990, 1994","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac, Grey, Flannel Grey, Mahogany, Sandstone"
9780,Large Tote,Tote,"1986, 1987","Black, British Tan, Burgundy, Mocha, Navy"
9785,Zipper Tote,Tote,1987,"Black, British Tan, Burgundy, Mocha, Navy, Red, Tabac"
9790,City Bag,Crossbody,"1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998","Black, Bone, British Tan, Burgundy, Flannel Grey, Mocha, Navy, Putty, Red, Tabac, Mahogany, Forest Green, Stone, Bordeaux, Bottle Green, Butterscotch, White, Taupe, Blue, Yellow"
9791,Large Daypack,Backpack,"1998, 1999","Black, British Tan, Mahogany, Navy, Red"
9796,Spectator Bag,Crossbody,"1987, 1988, 1989","Black, British Tan, Burgundy, Flannel Grey, Mocha, Navy, Putty, Red, Tabac, Mahogany"
9800,Carrier Bag,Messenger,"1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1997","Black, British Tan, Mocha, Tabac, Burgundy, Mahogany"
9801,Equestrian Small Flap,Crossbody,"1997, 1998","Black, Blue, Mahogany, Red, Toffee, British Tan, Navy"
9802,Equestrian Zip,Crossbody,"1997, 1998","Black, Blue, Mahogany, Red, Toffee, British Tan, Navy, Loden"
9804,Equestrian Drawstring,Bucket,"1997, 1998","Black, Blue, Mahogany, Red, Toffee, Navy"
9806,Equestrian Slim Bucket,Bucket,"1997, 1998","Black, Blue, Mahogany, Red, Toffee, British Tan, Navy"
9807,Equestrian Large Flap,Crossbody,1998,"Black, Mahogany, Navy, Red, Toffee, Loden"
9808,Equestrian Flap Shopper,Tote,1998,"Black, Mahogany, Navy, Red, Toffee"
9809,Equestrian Compartment Bucket,Bucket,1998,"Black, Mahogany, Navy, Toffee, Loden"
9810,Envelope Clutch,Clutch/Pouch,1988,"Black, British Tan, Navy, Putty, Red, Tabac"
9812,Ridgefield Flap,Crossbody,1999,"Black, Camel, Mahogany, Navy"
9814,Sutton Zip,Crossbody,1999,"Black, Camel, Mahogany, Navy"
9815,Collegiate,Crossbody,"1988, 1993","Black, Bone, British Tan, Burgundy, Flannel Grey, Mocha, Navy, Putty, Red, Tabac, Bordeaux"
9816,Slim Duffle Medium,Bucket,1999,"Camel, Currant, Dark Grey, Black, Mahogany"
9817,Camera Zip,Clutch/Pouch,1999,"Black, Mahogany"
9819,Classic City Tote,Tote,1999,"Black, Mahogany"
9820,Swagger,Crossbody,"1988, 1989, 1990, 1993","Black, British Tan, Burgundy, Flannel Grey, Mahogany, Mocha, Navy, Putty, Red, Tabac, Forest Green, Sandstone, Bordeaux"
9825,Mini Bag,Crossbody,"1988, 1989, 1990","Black, Bone, British Tan, Burgundy, Flannel Grey, Mahogany, Mocha, Navy, Putty, Red, Tabac"
9830,Blazer Bag,Crossbody,"1988, 1989","Black, Bone, British Tan, Burgundy, Flannel Grey, Mahogany, Mocha, Navy, Putty, Red, Tabac, Forest Green, Sandstone"
9832,Turnlock Clutch,Clutch/Pouch,1997,"Black, British Tan, Mahogany"
9833,International Clutch,Clutch/Pouch,1995,"Black, British Tan, Mahogany"
9837,Casual Clutch,Clutch/Pouch,1997,"Black, British Tan, Mahogany"
9839,Lightweight Men's Clutch,Clutch/Pouch,1997,"Black, Mahogany"
9845,Compartment Bag Small,Crossbody,1989,"Black, Bone, British Tan, Burgundy, Mahogany, Navy, Putty, Red, Tabac"
9850,Compartment Bag,Crossbody,"1989, 1990, 1991, 1992","Black, Bone, British Tan, Burgundy, Mahogany, Navy, Putty, Red, Tabac, Forest Green, Sandstone, Stone"
9851,Saddle Bag,Crossbody,1990,"Black, British Tan, Burgundy, Forest Green, Mahogany, Navy, Putty, Red, Tabac"
9852,Ranch Bag,Crossbody,"1990, 1991","Black, British Tan, Forest Green, Mahogany, Navy, Putty, Tabac"
9853,Binocular Bag,Crossbody,"1990, 1991, 1992, 1993","Black, British Tan, Burgundy, Forest Green, Mahogany, Navy, Red, Tabac, Camel"
9854,Carlyle Bag,Crossbody,1990,"Black, British Tan, Burgundy, Forest Green, Mahogany, Navy"
9855,Classic Hobo,Shoulder Bag,"1989, 1990, 1995","Black, British Tan, Burgundy, Mahogany, Navy, Putty, Tabac, Olive"
9860,Plaza Bag,Crossbody,"1989, 1990","Black, British Tan, Burgundy, Forest Green, Mahogany, Navy, Putty, Red, Tabac"
9865,Plaza Bag Large,Crossbody,"1989, 1990, 1991","Black, British Tan, Burgundy, Forest Green, Mahogany, Navy, Putty, Red, Tabac"
9870,Court Bag,Crossbody,"1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999","Black, British Tan, Burgundy, Forest Green, Mahogany, Navy, Putty, Red, Tabac, Camel, Stone, Bordeaux, Bottle Green, Butterscotch, Taupe, Bone, White, Blue, Loden, Dark Grey, Grey"
9871,Beaumont Satchel,Satchel,1998,"Black, Bone, British Tan, Mahogany, Navy"
9872,Classic Compartment Tote,Tote,1998,"Black, British Tan, Mahogany, Navy"
